
##################################################
#             Conservación de Energía            #
##################################################

Step, tiempo, energía total
0, 0, 0.995806
1, 0.01, 0.991638
2, 0.02, 0.987496
3, 0.03, 0.983378
4, 0.04, 0.979286
5, 0.05, 0.975218
6, 0.06, 0.971175
7, 0.07, 0.967156
8, 0.08, 0.963162
9, 0.09, 0.959191
10, 0.1, 0.955245
11, 0.11, 0.951322
12, 0.12, 0.947423
13, 0.13, 0.943547
14, 0.14, 0.939694
15, 0.15, 0.935865
16, 0.16, 0.932058
17, 0.17, 0.928274
18, 0.18, 0.924512
19, 0.19, 0.920773
20, 0.2, 0.917056
21, 0.21, 0.913361
22, 0.22, 0.909688
23, 0.23, 0.906037
24, 0.24, 0.902407
25, 0.25, 0.898799
26, 0.26, 0.895211
27, 0.27, 0.891645
28, 0.28, 0.8881
29, 0.29, 0.884576
30, 0.3, 0.881072
31, 0.31, 0.877589
32, 0.32, 0.874126
33, 0.33, 0.870684
34, 0.34, 0.867261
35, 0.35, 0.863859
36, 0.36, 0.860476
37, 0.37, 0.857113
38, 0.38, 0.853769
39, 0.39, 0.850445
40, 0.4, 0.847139
41, 0.41, 0.843853
42, 0.42, 0.840586
43, 0.43, 0.837338
44, 0.44, 0.834108
45, 0.45, 0.830897
46, 0.46, 0.827704
47, 0.47, 0.82453
48, 0.48, 0.821373
49, 0.49, 0.818235
50, 0.5, 0.815115
51, 0.51, 0.812012
52, 0.52, 0.808927
53, 0.53, 0.805859
54, 0.54, 0.802809
55, 0.55, 0.799776
56, 0.56, 0.796761
57, 0.57, 0.793762
58, 0.58, 0.79078
59, 0.59, 0.787815
60, 0.6, 0.784867
61, 0.61, 0.781935
62, 0.62, 0.77902
63, 0.63, 0.776121
64, 0.64, 0.773238
65, 0.65, 0.770372
66, 0.66, 0.767521
67, 0.67, 0.764686
68, 0.68, 0.761867
69, 0.69, 0.759064
70, 0.7, 0.756276
71, 0.71, 0.753504
72, 0.72, 0.750747
73, 0.73, 0.748005
74, 0.74, 0.745278
75, 0.75, 0.742566
76, 0.76, 0.73987
77, 0.77, 0.737188
78, 0.78, 0.734521
79, 0.79, 0.731868
80, 0.8, 0.72923
81, 0.81, 0.726606
82, 0.82, 0.723997
83, 0.83, 0.721402
84, 0.84, 0.718821
85, 0.85, 0.716254
86, 0.86, 0.713701
87, 0.87, 0.711162
88, 0.88, 0.708636
89, 0.89, 0.706124
90, 0.9, 0.703626
91, 0.91, 0.701141
92, 0.92, 0.69867
93, 0.93, 0.696212
94, 0.94, 0.693767
95, 0.95, 0.691335
96, 0.96, 0.688916
97, 0.97, 0.68651
98, 0.98, 0.684117
99, 0.99, 0.681737
100, 1, 0.679369
101, 1.01, 0.677014
